"Cable System"^"Cable Network Type"^"Segment"^"Veritas Segment ID/drniId"^"Segment_Status"^"Cable type (Backhaul/Subsea)"^"A-End PoP"^"A-end Country"^"APoP_Status"^"APop_Type"^"B-end PoP"^"ZPoP_Status"^"ZPop_Type"^"B-end Country"^"Supplier/Provider"
"USA FASTER BAAT"^"Backhaul Network System"^"US160"^"262244174371270815"^"Planned"^"Backhaul Route"^"BAAT"^"UNITED STATES OF AMERICA"^"In Service"^"Carrier - Cable Station"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA AAG SLOJ"^"Backhaul Network System"^"US159"^"258571254583823631"^"In Service"^"Backhaul Route"^"SLOJ"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ316"^"258911470798273025"^"In Service"^"Backhaul Route"^"LAX&"^"UNITED STATES OF AMERICA"^"In Service"^"Customer Premises - Generic"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ338"^"258911470798272760"^"In Service"^"Backhaul Route"^"SBOA"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ356"^"258911470798272544"^"In Service"^"Backhaul Route"^"EQAB"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US03"^"5153391103472063830"^"In Service"^"Backhaul Route"^"SLOA"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA JUS SX MRBC"^"Backhaul Network System"^"US05"^"5153391103472063806"^"In Service"^"Backhaul Route"^"MBOA"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US06"^"5153391103472063794"^"In Service"^"Backhaul Route"^"EQNX"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA UNITY 1WUN"^"Backhaul Network System"^"US07"^"5153391103472063782"^"In Service"^"Backhaul Route"^"1WUN"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US09"^"5153391103472063746"^"In Service"^"Backhaul Route"^"TLOT"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US113"^"5153391103472063710"^"In Service"^"Backhaul Route"^"EQCH"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA T-USA"^"Backhaul Network System"^"US141"^"5153391103472063494"^"In Service"^"Backhaul Route"^"UNSE"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US16"^"5153392958897937293"^"In Service"^"Backhaul Route"^"EQLA"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA HAWAIKI USFB"^"Backhaul Network System"^"US21"^"5153392958897937245"^"In Service"^"Backhaul Route"^"USFB"^"UNITED STATES OF AMERICA"^"In Service"^"Carrier - Cable Station"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US30"^"5153392958897937233"^"In Service"^"Backhaul Route"^"PAIX"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"TGN CABLE NETWORK"^"Sub Sea Cable System"^"TGN GT17A [LAX LAX]"^"4980737121755441246"^"In Service"^"Sub Sea Cable Segment"^"LATG"^"UNITED STATES OF AMERICA"^"In Service"^"Carrier - POP"^"1WLT"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ343"^"258912639029377212"^"In Service"^"Backhaul Route"^"LAX&"^"UNITED STATES OF AMERICA"^"In Service"^"Customer Premises - Generic"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ168"^"262429561391444163"^"In Service"^"Backhaul Route"^"PAIX"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ71"^"262469762285337273"^"In Service"^"Backhaul Route"^"SLOJ"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ255"^"262418634994644183"^"In Service"^"Backhaul Route"^"1WMR"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ179"^"262418634994645095"^"In Service"^"Backhaul Route"^"MRBC"^"UNITED STATES OF AMERICA"^"In Service"^"Carrier - Cable Station"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ119"^"262429561391444751"^"In Service"^"Backhaul Route"^"EQNX"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ137"^"262418634994643511"^"In Service"^"Backhaul Route"^"MRBC"^"UNITED STATES OF AMERICA"^"In Service"^"Carrier - Cable Station"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ29"^"256535555277264201"^"In Service"^"Backhaul Route"^"TLOT"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"TGN CABLE NETWORK"^"Sub Sea Cable System"^"TGN [1WMR-CHCC]"^"258281443447041025"^"In Service"^"Sub Sea Cable Segment"^"CHCC"^"JAPAN"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"TGN CABLE NETWORK"^"Sub Sea Cable System"^"TGN [1WMR-EQHS]"^"258281443447041013"^"In Service"^"Sub Sea Cable Segment"^"EQHS"^"JAPAN"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US10"^"5153391103472063734"^"In Service"^"Backhaul Route"^"EQLA"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US12"^"5153391103472063662"^"In Service"^"Backhaul Route"^"ULAL"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA POP-POP"^"Backhaul Network System"^"US132"^"5153391103472063530"^"In Service"^"Backhaul Route"^"EQCH"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WMR"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ212"^"262429561391445723"^"In Service"^"Backhaul Route"^"ULRT"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WUN"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA UNITY 1WUN"^"Backhaul Network System"^"US07"^"5153391103472063782"^"In Service"^"Backhaul Route"^"1WLT"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WUN"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA UNITY 1WUN"^"Backhaul Network System"^"US08a"^"5153391103472063770"^"In Service"^"Backhaul Route"^"TLOT"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WUN"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA UNITY 1WUN"^"Backhaul Network System"^"US08b"^"5153391103472063758"^"In Service"^"Backhaul Route"^"TLOT"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WUN"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"USA UNITY 1WUN"^"Backhaul Network System"^"US13"^"5153391103472063554"^"In Service"^"Backhaul Route"^"EQCH"^"UNITED STATES OF AMERICA"^"In Service"^"Telstra International POP"^"1WUN"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"UNITY CABLE NETWORK"^"Sub Sea Cable System"^"UNITY [1WUN-CKKD]"^"4980741244924045013"^"In Service"^"Sub Sea Cable Segment"^"CKKD"^"JAPAN"^"In Service"^"Telstra International POP"^"1WUN"^"In Service"^"Telstra International POP"^"UNITED STATES OF AMERICA"^""
"TVT SUB SEA SYSTEM"^"Sub Sea Cable System"^"TVT - SUB SEA CABLE SEGMENT - 25JULY"^"4697453531922274272"^"Removed from Plan"^"Sub Sea Cable Segment"^"24AP"^""^"In Service"^"Telstra International POP"^"24AP"^"In Service"^"Telstra International POP"^""^""
"TEST SSCS"^"Sub Sea Cable System"^"TEST SSCS 1246"^"4695576928381742667"^"Removed from Plan"^"Sub Sea Cable Segment"^"5SEP"^""^"Pending Decommission"^"Telstra International POP"^"5SEP"^"Pending Decommission"^"Telstra International POP"^""^""
"Test Sanity Prod"^"Backhaul Network System"^"Test BR Prod"^"4979056375375715163"^"Decommissioned"^"Backhaul Route"^"ABC1"^""^"Decommissioned"^"Telstra International POP"^"5SEP"^"Pending Decommission"^"Telstra International POP"^""^""
"TEST PROD 28 NOV 2"^"Sub Sea Cable System"^"TEST PROD SSCS"^"4979056306656233194"^"Decommissioned"^"Sub Sea Cable Segment"^"ABC1"^""^"Decommissioned"^"Telstra International POP"^"5SEP"^"Pending Decommission"^"Telstra International POP"^""^""
"TEST PROD 28 NOV"^"Sub Sea Cable System"^"TEST PROD SSCS"^"4979056306656233194"^"Decommissioned"^"Sub Sea Cable Segment"^"ABC1"^""^"Decommissioned"^"Telstra International POP"^"5SEP"^"Pending Decommission"^"Telstra International POP"^""^""
"TEST PROD 28 NOV 2"^"Sub Sea Cable System"^"SSCS ABC1-5SEP TEST"^"5153077867389872818"^"Decommissioned"^"Sub Sea Cable Segment"^"ABC1"^""^"Decommissioned"^"Telstra International POP"^"5SEP"^"Pending Decommission"^"Telstra International POP"^""^""
"TEST PROD 28 NOV"^"Sub Sea Cable System"^"SSCS ABC1-5SEP TEST"^"5153077867389872818"^"Decommissioned"^"Sub Sea Cable Segment"^"ABC1"^""^"Decommissioned"^"Telstra International POP"^"5SEP"^"Pending Decommission"^"Telstra International POP"^""^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ347"^"258911470798272652"^"In Service"^"Backhaul Route"^"ISTT"^"SINGAPORE"^"In Service"^"Telstra International POP"^"6NTP"^"In Service"^"Telstra International POP"^"SINGAPORE"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ60"^"262429561391446845"^"In Service"^"Backhaul Route"^"SCGL"^"SINGAPORE"^"In Service"^"Telstra International POP"^"6NTP"^"In Service"^"Telstra International POP"^"SINGAPORE"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ151"^"262469281248997775"^"In Service"^"Backhaul Route"^"IMNV"^"INDIA"^"In Service"^"Telstra International POP"^"6NTP"^"In Service"^"Telstra International POP"^"SINGAPORE"^""
"DumyBackhaulNetwork"^"Backhaul Network System"^"ZZ38"^"256515832787440978"^"In Service"^"Backhaul Route"^"HKTH"^"HONG KONG"^"In Service"^"Telstra International POP"^"6NTP"^"In Service"^"Telstra International POP"^"SINGAPORE"^""
