Cable type (Backhaul/Subsea),On-Net,Cable Network,Cable Segment,Segment,A PoP,A-end Country,A PoP Status,A Pop Type,Z PoP,B-end Country,Z PoP Status,Z Pop Type,Product,RTD(ms),Weight,Supplier/Provider,"1 Akoranga Drive, Northcote, Auckland 0627, New Zealand"
Backhaul,,N/A,ZZ19,,HKZD,#N/A,In Service,Telstra International POP,HKTH,HONG KONG,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ20,,SHZ&,#N/A,In Service,Customer Premises - Generic,HKTH,HONG KONG,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ21,,SHZF,#N/A,In Service,Carrier - POP,HKTH,HONG KONG,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ22,,SLTU,HONG KONG,In Service,Telstra International POP,HKTH,HONG KONG,In Service,Telstra International POP,EK,0.53,60,,
Backhaul,,N/A,ZZ23,,WRIK,HONG KONG,In Service,Telstra International POP,HKTH,HONG KONG,In Service,Telstra International POP,NA,,,,"invalid pop, WRIK?"
Backhaul,,N/A,ZZ24,,SLTU,HONG KONG,In Service,Telstra International POP,KSG3,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ25,,SLTU,HONG KONG,In Service,Telstra International POP,SLTU,HONG KONG,In Service,Telstra International POP,NA,,,,"Invalid path, A-pop=Z-pop"
Backhaul,,N/A,ZZ26,,SYDO,AUSTRALIA,In Service,Telstra International POP,SYDO,AUSTRALIA,In Service,Telstra International POP,NA,,,,Invalid - same A-PoP and Z-PoP
Backhaul,,N/A,ZZ27,,SYDP,AUSTRALIA,In Service,Telstra International POP,SYDP,AUSTRALIA,In Service,Telstra International POP,NA,,,,Invalid - same A-PoP and Z-PoP
Backhaul,,N/A,ZZ28,,WRIK,HONG KONG,In Service,Telstra International POP,TGFK,HONG KONG,In Service,Telstra International POP,NA,,,,"invalid pop, WRIK?"
Backhaul,,N/A,ZZ29,,TLOT,UNITED STATES OF AMERICA,In Service,Telstra International POP,1WMR,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,0.1,90,,
Backhaul,,N/A,ZZ30,,HKTH,HONG KONG,In Service,Telstra International POP,HKCA,#N/A,In Service,Carrier - Cable Station,NA,,,,
Backhaul,,N/A,ZZ32,,SKWX,#N/A,In Service,Carrier - POP,HKCA,#N/A,In Service,Carrier - Cable Station,NA,,,,
Backhaul,,N/A,ZZ33,,SGCN,SINGAPORE,In Service,Telstra International POP,SGCH,SINGAPORE,In Service,Telstra International POP,VR,0.023,90,,
Backhaul,,N/A,ZZ34,,HKOL,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,NA,,,,Invalid A-end pop name: HKOL
Backhaul,,N/A,ZZ36,,HKHH,HONG KONG,In Service,Telstra International POP,HKHH,HONG KONG,In Service,Telstra International POP,NA,,,,Invalid - same A-PoP and Z-PoP
Subsea,,N/A,ZZ38,,HKTH,HONG KONG,In Service,Telstra International POP,6NTP,SINGAPORE,In Service,Telstra International POP,NA,,,,"Invalid z-pop, and not backhaul"
Subsea,,N/A,ZZ39,,HKHH,HONG KONG,In Service,Telstra International POP,6NTP,SINGAPORE,In Service,Telstra International POP,NA,,,,"Invalid z-pop, and not backhaul"
Backhaul,,N/A,ZZ40,,PMPI,PHILIPPINES,In Service,Telstra International POP,PHPN,PHILIPPINES,In Service,Telstra International POP,NA,,,,"PMPI not TX pop, only IP"
