Cable type (Backhaul/Subsea),On-Net,Cable Network,Cable Segment,Segment,A PoP,A-end Country,A PoP Status,A Pop Type,Z PoP,B-end Country,Z PoP Status,Z Pop Type,Product,RTD(ms),Weight,Supplier/Provider,"1 Akoranga Drive, Northcote, Auckland 0627, New Zealand"
Backhaul,,N/A,ZZ347,,ISTT,SINGAPORE,In Service,Telstra International POP,6NTP,SINGAPORE,In Service,Telstra International POP,VR,0.33,90,,
Backhaul,,N/A,ZZ348,,SHS&,#N/A,In Service,Customer Premises - Generic,SHS&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ349,,SIKO,JAPAN,In Service,Telstra International POP,JWLS,JAPAN,In Service,Telstra International POP,PS,1.7,60,,
Backhaul,,N/A,ZZ350,,JNAG,#N/A,In Service,Carrier - POP,JISE,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ351,,STO&,#N/A,In Service,Customer Premises - Generic,STO&,#N/A,In Service,Customer Premises - Generic,NA,,,,
Backhaul,,N/A,ZZ352,,JKHF,JAPAN,In Service,Telstra International POP,JAAJ,JAPAN,In Service,Telstra International POP,NA,,,,
Backhaul,,N/A,ZZ353,,ULHX,UNITED KINGDOM,In Service,Telstra International POP,ULCO,UNITED KINGDOM,In Service,Telstra International POP,PS,0.3,60,,
Backhaul,,N/A,ZZ354,,JNAK,#N/A,In Service,Carrier - POP,JKAS,#N/A,In Service,Carrier - POP,NA,,,,
Backhaul,,N/A,ZZ355,,SGMS,SINGAPORE,In Service,Telstra International POP,SGCN,SINGAPORE,In Service,Telstra International POP,VR,0.33,90,,
Backhaul,,N/A,ZZ356,,EQAB,UNITED STATES OF AMERICA,In Service,Telstra International POP,1WLT,UNITED STATES OF AMERICA,In Service,Telstra International POP,PS,59.06,90,,
Backhaul,Yes,N/A,AU01,AU01,SYDO,AUSTRALIA,In Service,Telstra International POP,SXBR,AUSTRALIA,In Service,Carrier - Cable Station,EK,0.174,60,Telstra International,
Backhaul,Yes,N/A,AU02,AU02,SYGS,AUSTRALIA,In Service,Telstra Colo Resell,SYDO,AUSTRALIA,In Service,Telstra International POP,EK,0.17,60,Telstra International,
Backhaul,Yes,N/A,AU03,AU03,SYDP,AUSTRALIA,In Service,Telstra International POP,SXBR,AUSTRALIA,In Service,Carrier - Cable Station,EK,0.25,60,Telstra International,
Backhaul,Yes,N/A,AU04,AU04,SYEQ,AUSTRALIA,In Service,Telstra International POP,SYDP,AUSTRALIA,In Service,Telstra International POP,EK,0.11,60,Telstra International,"looks like the segment # is incorrect, should be AU103"
Backhaul,Yes,N/A,AU05,AU05,SYEQ,AUSTRALIA,In Service,Telstra International POP,SXAL,AUSTRALIA,In Service,Carrier - Cable Station,EK,0.1,60,Telstra International,
Backhaul,Yes,N/A,AU06,AU06,SYGS,AUSTRALIA,In Service,Telstra Colo Resell,SXAL,AUSTRALIA,In Service,Carrier - Cable Station,EK,0.2,60,Telstra International,
Backhaul,Yes,N/A,AU101,AU101,SYDP,AUSTRALIA,In Service,Telstra International POP,SYDO,AUSTRALIA,In Service,Telstra International POP,EK,0.5,60,Telstra International,
Backhaul,Yes,N/A,AU102,AU102,SYEQ,AUSTRALIA,In Service,Telstra International POP,SYDO,AUSTRALIA,In Service,Telstra International POP,EK,0.302,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU103,AU103,SYEQ,AUSTRALIA,In Service,Telstra International POP,SYDP,AUSTRALIA,In Service,Telstra International POP,EK,0.11,60,Telstra International,
Backhaul,Yes,N/A,AU104,AU104,SYDO,AUSTRALIA,In Service,Telstra International POP,PTHW,AUSTRALIA,In Service,Telstra International POP,EK,39.787,60,Telstra International,
Backhaul,Yes,N/A,AU105,AU105,SYDP,AUSTRALIA,In Service,Telstra International POP,PTHW,AUSTRALIA,In Service,Telstra International POP,EK,47.479,60,Telstra International,
Backhaul,Yes,N/A,AU106,AU106,SYDP,AUSTRALIA,In Service,Telstra International POP,SXAL,AUSTRALIA,In Service,Carrier - Cable Station,EK,0.3,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU107,AU107,SYDP,AUSTRALIA,In Service,Telstra International POP,SXBR,AUSTRALIA,In Service,Carrier - Cable Station,EK,0.25,60,Telstra International,
Backhaul,Yes,N/A,AU108,AU108,SYDO,AUSTRALIA,In Service,Telstra International POP,PTHP,AUSTRALIA,In Service,Telstra International POP,EK,50,60,Telstra International,
Backhaul,Yes,N/A,AU109,AU109,SYDP,AUSTRALIA,In Service,Telstra International POP,PTHW,AUSTRALIA,In Service,Telstra International POP,EK,47.479,60,Telstra International,
Backhaul,Yes,N/A,AU110,AU110,SYDO,AUSTRALIA,In Service,Telstra International POP,SXBR,AUSTRALIA,In Service,Carrier - Cable Station,EK,0.174,60,Telstra International,
Backhaul,Yes,N/A,AU111,AU111,SYDO,AUSTRALIA,In Service,Telstra International POP,SXAL,AUSTRALIA,In Service,Carrier - Cable Station,EK,0.326,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU112,AU112,PTHW,AUSTRALIA,In Service,Telstra International POP,PTHP,AUSTRALIA,In Service,Telstra International POP,EK,0.0065,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU113,AU113,PTHW,AUSTRALIA,In Service,Telstra International POP,PTHG,AUSTRALIA,In Service,Telstra International POP,EK,0.294,60,Telstra International,Estimates / PTHG is not EPL pop
Backhaul,Yes,N/A,AU114,AU114,PTHP,AUSTRALIA,In Service,Telstra International POP,PTHG,AUSTRALIA,In Service,Telstra International POP,EK,0.211,60,Telstra International,Estimates / PTHG is not EPL pop
Backhaul,Yes,N/A,AU115,AU115,PTHP,AUSTRALIA,In Service,Telstra International POP,APE2,AUSTRALIA,In Service,Telstra Colo Resell,NA,,,Telstra International,APE2 is not a transmission or IP pop.  Colocation only
Backhaul,Yes,N/A,AU116,AU116,SYDP,AUSTRALIA,In Service,Telstra International POP,PTHP,AUSTRALIA,In Service,Telstra International POP,EK,38.86,60,Telstra International,
Backhaul,Yes,N/A,AU117,AU117,PTHW,AUSTRALIA,In Service,Telstra International POP,PTHP,AUSTRALIA,In Service,Telstra International POP,EK,0.0065,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU118,AU118,SYDP,AUSTRALIA,In Service,Telstra International POP,PTHP,AUSTRALIA,In Service,Telstra International POP,EK,39.36,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU119,AU119,SYEQ,AUSTRALIA,In Service,Telstra International POP,PTHW,AUSTRALIA,In Service,Telstra International POP,EK,39.31,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU120,AU120,SYGS,AUSTRALIA,In Service,Telstra Colo Resell,SYDO,AUSTRALIA,In Service,Telstra International POP,EK,0.17,60,Telstra International,
Backhaul,Yes,N/A,AU121,AU121,SYEQ,AUSTRALIA,In Service,Telstra International POP,PTHW,AUSTRALIA,In Service,Telstra International POP,EK,39.31,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU122,AU122,SYGS,AUSTRALIA,In Service,Telstra Colo Resell,SYDP,AUSTRALIA,In Service,Telstra International POP,EK,0.063,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU123,AU123,SYEQ,AUSTRALIA,In Service,Telstra International POP,SYDO,AUSTRALIA,In Service,Telstra International POP,EK,0.302,60,Telstra International,Estimates
Backhaul,Yes,N/A,AU201,AU201,SXAL,AUSTRALIA,In Service,Carrier - Cable Station,SASX,AUSTRALIA,In Service,Telstra International POP,EK,0.178,60,Telstra International,Estimates / SASX is not EPL pop
Backhaul,Yes,N/A,AU206,AU206,SYDO,AUSTRALIA,In Service,Telstra International POP,EXBN,AUSTRALIA,In Service,Telstra Domestic POP,NA,,,Telstra International,EXBN is not transmission/IP pop.  Colocation only
Backhaul,Yes,N/A,AU207,AU207,T124,AUSTRALIA,In Service,Telstra Domestic POP,SYDO,AUSTRALIA,In Service,Telstra International POP,NA,,,Telstra International,T124 is not transmission/IP pop.  TID pop
Backhaul,Yes,N/A,AU208,AU208,SYDP,AUSTRALIA,In Service,Telstra International POP,EXBN,AUSTRALIA,In Service,Telstra Domestic POP,NA,,,Telstra International,EXBN is not transmission/IP pop.  Colocation only
Backhaul,Yes,N/A,AU209,AU209,T124,AUSTRALIA,In Service,Telstra Domestic POP,SYDP,AUSTRALIA,In Service,Telstra International POP,NA,,,Telstra International,T124 is not transmission/IP pop.  TID pop
Backhaul,Yes,N/A,EU01,EU01,ULHC,UNITED KINGDOM,In Service,Telstra International POP,ULCN,UNITED KINGDOM,In Service,Telstra International POP,PS,0.1,60,Telstra International,
Backhaul,Yes,N/A,EU02,EU02,ULHC,UNITED KINGDOM,In Service,Telstra International POP,ULCO,UNITED KINGDOM,In Service,Telstra International POP,PS,0.243,60,Telstra International,
Backhaul,Yes,N/A,EU03,EU03,ULCO,UNITED KINGDOM,In Service,Telstra International POP,ULCN,UNITED KINGDOM,In Service,Telstra International POP,PS,0.2,60,Telstra International,
Backhaul,Yes,N/A,EU106,EU106,ULCN,UNITED KINGDOM,In Service,Telstra International POP,MRSJ,FRANCE,Decommissioned,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,EU107,EU107,MRSJ,GERMANY,Decommissioned,Telstra International POP,FRAN,FRANCE,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,EU109,EU109,ULHC,UNITED KINGDOM,In Service,Telstra International POP,FMS2,FRANCE,In Service,Telstra International POP,PS,18.533,60,Telstra International,
Backhaul,Yes,N/A,EU110,EU110,FRAN,GERMANY,In Service,Telstra International POP,FMS2,FRANCE,In Service,Telstra International POP,EK,16.623,60,Telstra International,
Backhaul,Yes,N/A,EU111,EU111,ULCN,UNITED KINGDOM,In Service,Telstra International POP,FMS2,FRANCE,In Service,Telstra International POP,PS,18.533,60,Telstra International,
Backhaul,Yes,N/A,EU112,EU112,ULHX,UNITED KINGDOM,In Service,Telstra International POP,ULHC,UNITED KINGDOM,In Service,Telstra International POP,PS,0.1,60,Telstra International,
Backhaul,Yes,N/A,EU114,EU114,ULHC,UNITED KINGDOM,In Service,Telstra International POP,STIX,SWEDEN,In Service,Telstra International POP,NA,,,Telstra International,
Terrestrial,Yes,N/A,EU115,EU115,STIX,SWEDEN,In Service,Telstra International POP,FMS1,FRANCE,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,EU116,EU116,ULCN,UNITED KINGDOM,In Service,Telstra International POP,NAM7,NETHERLANDS,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,EU117,EU117,NAM7,NETHERLANDS,In Service,Telstra International POP,GFR4,GERMANY,In Service,Telstra International POP,NA,,,Telstra International,
Terrestrial,Yes,N/A,EU122,EU122,STIX,SWEDEN,In Service,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,EU123,EU123,ULHC,UNITED KINGDOM,In Service,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,PS,11.218,60,Telstra International,
Backhaul,Yes,N/A,EU124,EU124,ULCN,UNITED KINGDOM,In Service,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,PS,11,60,Telstra International,
Terrestrial,Yes,N/A,EU126,EU126,GFR4,GERMANY,In Service,Telstra International POP,FMS1,FRANCE,In Service,Telstra International POP,NA,,,Telstra International,GFR4 is IP pop only
Backhaul,Yes,N/A,EU127,EU127,FRAN,GERMANY,In Service,Telstra International POP,FMS1,FRANCE,In Service,Telstra International POP,EK,16.623,60,Telstra International,
Backhaul,Yes,N/A,EU128,EU128,ULCN,UNITED KINGDOM,In Service,Telstra International POP,FMS1,FRANCE,In Service,Telstra International POP,PS,8,60,Telstra International,
Backhaul,Yes,N/A,EU129,EU129,ULHC,UNITED KINGDOM,In Service,Telstra International POP,FRAN,GERMANY,In Service,Telstra International POP,PS,11,60,Telstra International,
Backhaul,Yes,N/A,EU131,EU131,ULCN,UNITED KINGDOM,In Service,Telstra International POP,EIGL,UNITED KINGDOM,In Service,Carrier - Cable Station,NA,,,Telstra International,
Terrestrial,Yes,N/A,EU134,EU134,GFR4,GERMANY,In Service,Telstra International POP,FPA4,FRANCE,In Service,Telstra International POP,NA,,,Telstra International,GFR4 is IP pop only
Backhaul,Yes,N/A,EU135,EU135,GFR4,GERMANY,In Service,Telstra International POP,DCPH,DENMARK,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,EU136,EU136,ULHC,UNITED KINGDOM,In Service,Telstra International POP,DCPH,DENMARK,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,EU137,EU137,ULHC,UNITED KINGDOM,In Service,Telstra International POP,FPA4,FRANCE,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,HK01,HK01,HKCK,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,EK,0.299,60,Telstra International,
Backhaul,Yes,N/A,HK02,HK02,HKMI,HONG KONG,In Service,Telstra International POP,HKCK,HONG KONG,In Service,Telstra International POP,EK,0.374,60,Telstra International,
Backhaul,Yes,N/A,HK03,HK03,HKMI,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,EK,0.416,60,Telstra International,
Backhaul,Yes,N/A,HK05,HK05,HKGG,HONG KONG,In Service,Telstra International POP,HKCK,HONG KONG,In Service,Telstra International POP,EK, 0.6159,60,Telstra International,
Backhaul,Yes,N/A,HK06,HK06,HKGG,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,EK,0.5175,60,Telstra International,
Backhaul,Yes,N/A,HK07,HK07,HKSF,HONG KONG,In Service,Telstra International POP,HKMI,HONG KONG,In Service,Telstra International POP,EK,0.14,60,Telstra International,HKSF has legacy Ericsson equipment there only
Backhaul,Yes,N/A,HK08,HK08,HKTH,HONG KONG,In Service,Telstra International POP,HKKW,HONG KONG,In Service,Telstra International POP,EK,0.54,60,Telstra International,
Backhaul,Yes,N/A,HK09,HK09,HKKW,HONG KONG,In Service,Telstra International POP,HKGG,HONG KONG,In Service,Telstra International POP,EK,0.18802,60,Telstra International,
Backhaul,Yes,N/A,HK11,HK11,HKTH,HONG KONG,In Service,Telstra International POP,HKHH,HONG KONG,In Service,Telstra International POP,EK,0.1364,60,Telstra International,
Backhaul,Yes,N/A,HK12a,HK12a,SLTU,HONG KONG,In Service,Telstra International POP,HKHH,HONG KONG,In Service,Telstra International POP,EK,0.73776,60,Telstra International,
Backhaul,Yes,N/A,HK12b,HK12b,SLTU,HONG KONG,In Service,Telstra International POP,HKHH,HONG KONG,In Service,Telstra International POP,EK,0.73776,60,Telstra International,
Backhaul,Yes,N/A,HK13,HK13,HKTH,HONG KONG,In Service,Telstra International POP,HKDW,HONG KONG,In Service,Telstra International POP,EK,0.374,60,Telstra International,
Backhaul,Yes,N/A,HK14,HK14,HKST,HONG KONG,In Service,Telstra International POP,HKDW,HONG KONG,In Service,Telstra International POP,EK,0.5,60,Telstra International,
Backhaul,Yes,N/A,HK16a,HK16a,TGFK,HONG KONG,In Service,Telstra International POP,HKTH,HONG KONG,In Service,Telstra International POP,EK,0.4483,60,Telstra International,
Backhaul,Yes,N/A,HK16b,HK16b,TGFK,HONG KONG,In Service,Telstra International POP,HKTH,HONG KONG,In Service,Telstra International POP,EK,0.4483,60,Telstra International,
Backhaul,Yes,N/A,HK17,HK17,TGFK,HONG KONG,In Service,Telstra International POP,SLTU,HONG KONG,In Service,Telstra International POP,EK,0.0974,60,Telstra International,
Backhaul,Yes,N/A,HK18,HK18,HKTH,HONG KONG,In Service,Telstra International POP,HKMI,HONG KONG,In Service,Telstra International POP,EK,0.2855,60,Telstra International,
Backhaul,Yes,N/A,HK19,HK19,SLTU,HONG KONG,In Service,Telstra International POP,HKGG,HONG KONG,In Service,Telstra International POP,EK,0.4796,60,Telstra International,
Backhaul,Yes,N/A,HK20,HK20,SLTU,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,EK,0.405,60,Telstra International,
Backhaul,Yes,N/A,HK21,HK21,HKTH,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,EK,0.2551,60,Telstra International,
Backhaul,Yes,N/A,HK22,HK22,HKTH,HONG KONG,In Service,Telstra International POP,HKMI,HONG KONG,In Service,Telstra International POP,EK,0.2855,60,Telstra International,
Backhaul,Yes,N/A,HK23,HK23,HKSF,HONG KONG,In Service,Telstra International POP,HKCK,HONG KONG,In Service,Telstra International POP,EK,0.145,60,Telstra International,HKSF has legacy Ericsson equipment there only
Backhaul,Yes,N/A,HK24,HK24,HKSF,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,EK,0.123,60,Telstra International,HKSF has legacy Ericsson equipment there only
Backhaul,Yes,N/A,HK25,HK25,TGFK,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,EK,0.41,60,Telstra International,
Backhaul,Yes,N/A,HK26,HK26,HKEA,HONG KONG,In Service,Telstra International POP,HKCK,HONG KONG,In Service,Telstra International POP,EK,0.011,60,Telstra International,
Backhaul,Yes,N/A,HK27,HK27,HKCK,HONG KONG,In Service,Telstra International POP,HKCC,HONG KONG,In Service,Telstra International POP,EK,0.299,60,Telstra International,
Backhaul,Yes,N/A,ID101,ID101,JAKT,INDONESIA,In Service,Telstra International POP,IJCB,INDONESIA,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,IN101,IN101,IMNV,INDIA,In Service,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,PS,21,60,Telstra International,
Backhaul,Yes,N/A,IN102,IN102,IMNV,INDIA,In Service,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,PS,21,60,Telstra International,
Backhaul,Yes,N/A,IN103,IN103,IBEM,INDIA,In Service,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,PS,5.23,60,Telstra International,
Backhaul,Yes,N/A,IN104,IN104,IDTA,INDIA,In Service,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,PS,44.069,60,Telstra International,
Backhaul,Yes,N/A,IN106,IN106,IMNV,INDIA,In Service,Telstra International POP,IBEM,INDIA,In Service,Telstra International POP,PS,21,60,Telstra International,
Backhaul,Yes,N/A,IN107,IN107,IMNV,INDIA,In Service,Telstra International POP,IDTA,INDIA,In Service,Telstra International POP,PS,32.7,60,Telstra International,
Backhaul,Yes,N/A,IN108,IN108,MBBI,INDIA,In Service,Carrier - Cable Station,IMNV,INDIA,In Service,Telstra International POP,PS,1.464,60,Telstra International,Typo - MBAI not MBBI
Backhaul,Yes,N/A,IN109,IN109,IMNV,INDIA,In Service,Telstra International POP,BBGM,INDIA,In Service,Carrier - Cable Station,PS,0.3,60,Telstra International,
Backhaul,Yes,N/A,IN110,IN110,IMNV,INDIA,In Service,Telstra International POP,IMNB,INDIA,In Service,Carrier - Cable Station,PS,0.2,60,Telstra International,
Backhaul,Yes,N/A,IN111,IN111,IMNV,INDIA,In Service,Telstra International POP,IMNB,INDIA,In Service,Carrier - Cable Station,PS,0.2,60,Telstra International,
Backhaul,Yes,N/A,IN113,IN113,IMNV,INDIA,In Service,Telstra International POP,IMBK,INDIA,In Service,Telstra International POP,PS,1,60,Telstra International,
Backhaul,Yes,N/A,IN115,IN115,IMBK,INDIA,In Service,Telstra International POP,ICSE,INDIA,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,IN116,IN116,ICSE,INDIA,In Service,Telstra International POP,CHEP,INDIA,In Service,Telstra International POP,NA,,,Telstra International,
Backhaul,Yes,N/A,JP01,JP01,JOUA,JAPAN,In Service,Telstra International POP,JOS1,JAPAN,In Service,Telstra International POP,PS,0.164,60,Telstra International,
Backhaul,Yes,N/A,JP02,JP02,SMCC,JAPAN,In Service,Telstra International POP,JOS1,JAPAN,In Service,Telstra International POP,PS,2.002,60,Telstra International,
Backhaul,Yes,N/A,JP03,JP03,JSOM,JAPAN,In Service,Telstra International POP,JOUA,JAPAN,In Service,Telstra International POP,PS,3.91,60,Telstra International,
Backhaul,Yes,N/A,JP04a,JP04a,NTDO,JAPAN,In Service,Telstra International POP,JOUA,JAPAN,In Service,Telstra International POP,PS,0.1,60,Telstra International,
Backhaul,Yes,N/A,JP04b,JP04b,NTDO,JAPAN,In Service,Telstra International POP,JOUA,JAPAN,In Service,Telstra International POP,PS,0.1,60,Telstra International,
Backhaul,Yes,N/A,JP05,JP05,NTDO,JAPAN,In Service,Telstra International POP,JOS1,JAPAN,In Service,Telstra International POP,PS,0.3,60,Telstra International,
Backhaul,Yes,N/A,JP06,JP06,SMCC,JAPAN,In Service,Telstra International POP,JSOM,JAPAN,In Service,Telstra International POP,PS,0.11,60,Telstra International,
Backhaul,Yes,N/A,JP09,JP09,JTHA,JAPAN,In Service,Telstra International POP,EQHS,JAPAN,In Service,Telstra International POP,PS,0.27731,60,Telstra International,
Backhaul,Yes,N/A,JP10,JP10,SIKO,JAPAN,In Service,Telstra International POP,EQHS,JAPAN,In Service,Telstra International POP,PS,0.25969,60,Telstra International,
Backhaul,Yes,N/A,JP11,JP11,EQHS,JAPAN,In Service,Telstra International POP,CHCC,JAPAN,In Service,Telstra International POP,PS,1.36518,60,Telstra International,
Backhaul,Yes,N/A,JP12,JP12,JTAT,JAPAN,In Service,Telstra International POP,EQHS,JAPAN,In Service,Telstra International POP,PS,0.097,60,Telstra International,
Backhaul,Yes,N/A,JP13,JP13,JTHA,JAPAN,In Service,Telstra International POP,EQHS,JAPAN,In Service,Telstra International POP,PS,0.27731,60,Telstra International,
Backhaul,Yes,N/A,JP14,JP14,JWLS,JAPAN,In Service,Telstra International POP,JTAT,JAPAN,In Service,Telstra International POP,PS,1.727,60,Telstra International,
Backhaul,Yes,N/A,JP15,JP15,SIKO,JAPAN,In Service,Telstra International POP,JTAT,JAPAN,In Service,Telstra International POP,PS,4.739,60,Telstra International,
Backhaul,Yes,N/A,JP16,JP16,KDOH,JAPAN,In Service,Telstra International POP,JTHA,JAPAN,In Service,Telstra International POP,PS,0.12423,60,Telstra International,
Backhaul,Yes,N/A,JP17,JP17,JTHA,JAPAN,In Service,Telstra International POP,JAAJ,JAPAN,In Service,Telstra International POP,PS,1.96806,60,Telstra International,
Backhaul,Yes,N/A,JP18,JP18,JTHA,JAPAN,In Service,Telstra International POP,JTAT,JAPAN,In Service,Telstra International POP,PS,0.09805,60,Telstra International,
Backhaul,Yes,N/A,JP22,JP22,JWLS,JAPAN,In Service,Telstra International POP,CHCC,JAPAN,In Service,Telstra International POP,PS,0.055,60,Telstra International,
Backhaul,Yes,N/A,JP23,JP23,JWLS,JAPAN,In Service,Telstra International POP,CKKD,JAPAN,In Service,Telstra International POP,PS,0.5,60,Telstra International,
Backhaul,Yes,N/A,JP24,JP24,MJLS,JAPAN,In Service,Telstra International POP,JWLS,JAPAN,In Service,Telstra International POP,PS,0.1336,60,Telstra International,
Backhaul,Yes,N/A,JP25,JP25,MJLS,JAPAN,In Service,Telstra International POP,CHCC,JAPAN,In Service,Telstra International POP,PS,0.2352,60,Telstra International,
Backhaul,Yes,N/A,JP26,JP26,MJLS,JAPAN,In Service,Telstra International POP,CHCC,JAPAN,In Service,Telstra International POP,PS,0.2352,60,Telstra International,
Backhaul,Yes,N/A,JP27,JP27,NFP3,JAPAN,In Service,Telstra International POP,EQHS,JAPAN,In Service,Telstra International POP,PS,0.24544,60,Telstra International,
Backhaul,Yes,N/A,JP28,JP28,SIKO,JAPAN,In Service,Telstra International POP,NFP3,JAPAN,In Service,Telstra International POP,PS,0.28561,60,Telstra International,
Backhaul,Yes,N/A,JP29,JP29,SIKO,JAPAN,In Service,Telstra International POP,JAAJ,JAPAN,In Service,Telstra International POP,PS,2.08996,60,Telstra International,
Backhaul,Yes,N/A,JP30,JP30,SIKO,JAPAN,In Service,Telstra International POP,KDOH,JAPAN,In Service,Telstra International POP,PS,0.20743,60,Telstra International,
Backhaul,Yes,N/A,JP31,JP31,SIKO,JAPAN,In Service,Telstra International POP,JTY4,JAPAN,In Service,Telstra International POP,PS,0.19904,60,Telstra International,
Backhaul,Yes,N/A,JP31_IP,JP31_IP,NTOH,JAPAN,In Service,Telstra International POP,KDOH,JAPAN,In Service,Telstra International POP,PS,0.1,60,Telstra International,
Backhaul,Yes,N/A,JP32,JP32,JTY4,JAPAN,In Service,Telstra International POP,JTHA,JAPAN,In Service,Telstra International POP,PS,0.1852,60,Telstra International,
Backhaul,Yes,N/A,JP32_IP,JP32_IP,NTOH,JAPAN,In Service,Telstra International POP,JTHA,JAPAN,In Service,Telstra International POP,PS,0.1,60,Telstra International,
Backhaul,Yes,N/A,JP33,JP33,MJLS,JAPAN,In Service,Telstra International POP,JTY4,JAPAN,In Service,Telstra International POP,PS,1.8,60,Telstra International,
Backhaul,Yes,N/A,KR01,KR01,PUCC,KOREA SOUTH,In Service,Telstra International POP,KOLS,KOREA SOUTH,In Service,Telstra International POP,PS,0.21,60,Telstra International,
Backhaul,Yes,N/A,KR02,KR02,PUCC,KOREA SOUTH,In Service,Telstra International POP,KSYD,KOREA SOUTH,In Service,Telstra International POP,PS,5.83,60,Telstra International,
Backhaul,Yes,N/A,KR03,KR03,KSYD,KOREA SOUTH,In Service,Telstra International POP,KSSD,KOREA SOUTH,In Service,Telstra International POP,PS,0.15,60,Telstra International,
Backhaul,Yes,N/A,KR04,KR04,KSSD,KOREA SOUTH,In Service,Telstra International POP,KOLS,KOREA SOUTH,In Service,Telstra International POP,PS,6.67,60,Telstra International,
Backhaul,Yes,N/A,KR05,KR05,KSSR,KOREA SOUTH,In Service,Telstra International POP,KSSD,KOREA SOUTH,In Service,Telstra International POP,PS,2.95,60,Telstra International,
Backhaul,Yes,N/A,KR06,KR06,KSSR,KOREA SOUTH,In Service,Telstra International POP,KSSD,KOREA SOUTH,In Service,Telstra International POP,PS,4.99,60,Telstra International,
Backhaul,Yes,N/A,KR07,KR07,KSSD,KOREA SOUTH,In Service,Telstra International POP,KSGG,KOREA SOUTH,In Service,Telstra International POP,PS,0.36,60,Telstra International,
Backhaul,Yes,N/A,KR08,KR08,KSGG,KOREA SOUTH,In Service,Telstra International POP,KSEQ,KOREA SOUTH,In Service,Telstra International POP,PS,1,60,Telstra International,
Backhaul,Yes,N/A,KR09,KR09,KSYD,KOREA SOUTH,In Service,Telstra International POP,KSEQ,KOREA SOUTH,In Service,Telstra International POP,PS,3,60,Telstra International,
Backhaul,Yes,N/A,KR10,KR10,KSSD,KOREA SOUTH,In Service,Telstra International POP,KBGG,KOREA SOUTH,In Service,Telstra International POP,PS,0.47,60,Telstra International,
Backhaul,Yes,N/A,KR11,KR11,KSYD,KOREA SOUTH,In Service,Telstra International POP,KBGG,KOREA SOUTH,In Service,Telstra International POP,PS,0.41,60,Telstra International,
Backhaul,Yes,N/A,ME07,ME07,UFSH,UNITED ARAB EMIRATES,In Service,Telstra International POP,UDDM,UNITED ARAB EMIRATES,In Service,Telstra International POP,PS,2,60,Telstra International,
Backhaul,Yes,N/A,ME103,ME103,UDDM,UNITED ARAB EMIRATES,In Service,Telstra International POP,BBGF,UNITED ARAB EMIRATES,In Service,Carrier - Cable Station,NA,,,Telstra International,
Backhaul,Yes,N/A,ME104,ME104,UDDM,UNITED ARAB EMIRATES,In Service,Telstra International POP,BBGF,UNITED ARAB EMIRATES,In Service,Carrier - Cable Station,NA,,,Telstra International,
Backhaul,Yes,N/A,ME105,ME105,UFSH,UNITED ARAB EMIRATES,In Service,Telstra International POP,BBGF,UNITED ARAB EMIRATES,In Service,Carrier - Cable Station,NA,,,Telstra International,
